SC,名称,決算期,決算発表日(本決算),売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),自己資本比率,ROE,ROA,発行済株式数(更新日時点)
9531,東京瓦斯,202603,20260428,2834749,197677,193701,226857,3892268,1717472,141844,1209669,44.1,13.18,5.86,334959259
9536,西部ガスホールディングス,202603,20260428,261823,12463,12583,7147,465845,115245,20629,247689,24.7,6.52,1.56,37187567
1944,きんでん,202603,20260427,750742,90256,94493,69447,913763,661366,26411,15002,72.4,11.02,8,199954180
2327,日鉄ソリューションズ,202603,20260427,381340,44242,45286,30832,417584,279203,12952,-,66.9,11.41,7.35,183002000
2760,東京エレクトロンデバイス,202603,20260427,203748,10253,9750,7842,162211,52831,2495,29433,32.6,15.58,4.92,31336500
3635,コーエーテクモホールディングス,202603,20260427,88393,37168,57000,42830,313662,271814,15000,-,86.7,18.61,16.36,336096924
3778,さくらインターネット,202603,20260427,35301,-403,105,216,82451,30102,11283,21260,36.5,0.72,0.26,41890700
4498,サイバートラスト,202603,20260427,8360,1649,1657,989,10708,7441,865,-,69.5,14.11,9.75,16620400
4503,アステラス製薬,202603,20260427,2139245,382633,376587,291535,3567042,1829044,103001,565952,51.3,17.45,8.44,1809663075
5410,合同製鐵,202603,20260427,191772,9813,11089,8051,255507,143789,34896,54006,56.3,5.79,3.16,17145211
5612,日本鋳鉄管,202603,20260427,15942,258,215,91,25626,9887,1855,9649,38.6,0.95,0.38,3293074
5992,中央発條,202603,20260427,110868,2847,4496,12420,154908,87734,10837,23389,56.6,15.1,8.34,25542396
6382,トリニティ工業,202603,20260427,38960,3190,3728,2688,44119,34640,1311,-,78.5,8.04,6.21,18220000
6436,アマノ,202603,20260427,176467,22551,24358,20146,193096,138624,18239,708,71.8,14.68,10.4,71106129
6470,大豊工業,202603,20260427,119378,2589,3007,-5967,114827,63661,6712,24868,55.4,-9.02,-5.03,29172457
6501,日立製作所,202603,20260427,10586781,1131993,1273109,802368,15041246,6568369,466666,1009037,43.7,12.93,5.67,4535560985
6516,山洋電気,202603,20260427,107346,10885,11747,8661,166367,127861,9926,3912,76.9,7.18,5.55,38916561
6754,アンリツ,202603,20260427,117462,14828,16147,11677,173258,132717,19219,3564,76.6,9.09,7.01,135870594
6810,マクセル,202603,20260427,129429,7891,8601,8260,180467,87059,12203,37059,48.2,9.26,4.79,46956200
6857,アドバンテスト,202603,20260427,1128610,499120,516720,375353,1171816,795726,32363,-,67.9,57.65,37.05,732000000
6988,日東電工,202603,20260427,1028171,183615,184976,133498,1441757,1148028,26783,-,79.6,12.18,9.66,678659700
7236,ティラド,202603,20260427,162278,11249,12378,8765,99725,53007,8570,19500,53.2,17.24,8.89,5900000
7241,フタバ産業,202603,20260427,677919,18715,20840,16026,334332,138885,16820,53651,41.5,12.5,4.94,89580827
7278,エクセディ,202603,20260427,303933,22230,23649,13680,320103,192711,8284,54558,60.2,7.33,4.38,48593736
7283,愛三工業,202603,20260427,330834,18287,19229,13074,311476,141853,10870,75373,45.5,9.42,4.27,63406879
7949,小松ウオール工業,202603,20260427,46725,4099,4150,3048,48603,39236,3099,-,80.7,7.91,6.39,19721980
7970,信越ポリマー,202603,20260427,115116,14040,14008,9899,153003,129107,11635,-,84.4,7.86,6.47,82623376
8285,三谷産業,202603,20260427,117531,3379,4519,3627,101531,56769,4808,10222,55.9,6.97,3.72,61772500
8601,大和証券グループ本社,202603,20260427,1467983,207333,234510,175281,38077646,1763569,247397,5771586,4.6,10.3,0.47,1569378772
