SC,名称,決算期,決算発表日(本決算),売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),自己資本比率,ROE,ROA,発行済株式数(更新日時点)
5026,トリプルアイズ,202508,20251015,5714,-61,59,-343,4845,1633,22,1620,33.7,-27.64,-7.03,8388100
5574,ABEJA,202508,20251015,3585,445,451,448,5318,4469,895,-,84,10.71,9.38,9936257
5580,プロディライト,202508,20251015,2834,178,176,118,1712,954,263,247,55.7,12.37,6.89,1682900
6199,セラク,202508,20251015,24776,2550,2599,1709,13324,8870,312,27,66.6,20.59,13.47,13710000
6522,アスタリスク,202508,20251015,1666,-125,-128,-182,2781,1729,983,721,62.2,-11.14,-6.69,8038800
7035,and_factory,202508,20251015,3209,-270,-266,-326,2020,887,801,356,43.9,-36.75,-16.14,11261970
7065,ユーピーアール,202508,20251015,15354,277,749,336,21956,9147,96,9189,41.7,3.72,1.55,7660000
7351,グッドパッチ,202508,20251015,5085,557,613,407,5245,4122,1774,238,78.6,10.21,8.2,9246820
7352,TWOSTONE＆Sons,202508,20251015,18077,819,807,494,9947,3351,1038,3637,33.7,15.86,5.8,44350160
7581,サイゼリヤ,202508,20251015,256714,15499,15805,11164,179446,116552,8612,6000,65,9.84,6.42,52272342
7818,トランザクション,202508,20251015,27453,5706,6011,4078,23798,19663,93,434,82.6,21.57,17.69,57550800
8254,さいか屋,202508,20251015,4632,114,135,110,11894,791,2195,8652,6.7,15.63,0.93,6074314
8783,abc,202508,20251015,1109,-922,781,526,9031,4286,731,2354,47.5,-,-,37818819
9241,フューチャーリンクネットワーク,202508,20251015,1544,-17,-20,28,994,279,282,240,28.1,10.83,2.95,866123
9252,ラストワンマイル,202508,20251015,15510,1149,1126,674,11186,4354,102,1940,38.9,17.5,6.43,2804391
9264,ポエック,202508,20251015,10114,911,986,573,15085,4255,1694,8719,28.2,13.69,4.34,4700826
9978,文教堂グループホールディングス,202508,20251015,14456,-88,-83,-154,9559,1156,50,4002,12.1,-12.49,-1.57,43849840
156A,マテリアルグループ,202508,20251014,6288,832,753,468,3896,2157,117,227,55.4,22.39,13.08,9877197
190A,Chordia_Therapeutics,202508,20251014,-,-1789,-1769,-1785,2681,2435,876,-,90.8,-54.14,-48.82,75216400
2736,フェスタリアホールディングス,202508,20251014,9403,289,284,176,7189,1627,812,3326,22.6,11.26,2.42,3631800
276A,ククレブ・アドバイザーズ,202508,20251014,2555,612,598,445,3791,2094,567,1450,55.2,29.04,16.79,5098660
2901,ウェルディッシュ,202508,20251014,1305,32,38,47,3825,3268,533,41,85.4,-,-,28604378
3045,カワサキ,202508,20251014,2291,516,514,338,8058,5755,4,1024,71.4,5.98,4.18,2901000
3536,アクサスホールディングス,202508,20251014,12134,164,3,221,15683,2198,50,12047,14,10.46,1.37,30325252
3647,アスリナ,202508,20251014,606,-299,-311,-315,1223,694,1173,30,56.7,-37.04,-22.72,22219720
3697,SHIFT,202508,20251014,129819,15628,15181,8935,77001,40599,21,12036,52.7,24.06,12.79,267500670
3987,エコモット,202508,20251014,3003,49,53,-35,2558,784,617,1030,30.6,-4.25,-1.36,5280400
4176,ココナラ,202508,20251014,9410,256,227,306,6325,2012,1255,1223,31.8,14.52,4.2,24054300
4199,ワンダープラネット,202508,20251014,2316,-129,-153,-131,1984,595,575,1166,30,-19.86,-6.34,2598212
4433,ヒト・コミュニケーションズ・ホールディングス,202508,20251014,63596,2495,2504,853,40822,17374,450,8154,42.6,4.93,2.11,17899333
4440,ヴィッツ,202508,20251014,4856,566,588,424,4072,2825,612,-,69.4,16.07,11.11,4176000
4668,明光ネットワークジャパン,202508,20251014,24827,1691,1868,1727,19150,12585,972,-,65.7,14.72,9.76,25803600
5578,ARアドバンストテクノロジ,202508,20251014,14152,829,777,445,6762,2124,141,1531,31.4,21.76,7.73,10407180
7085,カーブスホールディングス,202508,20251014,37566,6342,6481,4303,39205,20160,848,5374,51.4,21.75,10.68,93857493
7607,進和,202508,20251014,86146,4536,4809,3312,74409,43467,951,-,58.4,7.8,4.73,13815319
7805,プリントネット,202508,20251014,9213,563,565,433,7488,4164,815,1137,55.6,10.9,5.91,5460400
7928,旭化学工業,202508,20251014,8359,-45,113,47,6678,5290,671,120,79.2,0.87,0.69,3896000
8904,AVANTIA,202508,20251014,69270,1313,1146,639,71081,28022,3732,37291,39.4,2.29,0.92,14884300
9418,U-NEXT_HOLDINGS,202508,20251014,390408,31571,30900,18395,259782,97571,99,68816,37.6,20.5,7.53,180375333
9979,大庄,202508,20251014,52556,1196,1196,1172,29523,11286,100,8610,38.2,10.81,3.72,21198962
1434,JESCOホールディングス,202508,20251010,19067,1721,1692,1076,17647,7476,1056,5512,42.4,15.25,6.08,6975400
1997,暁飯島工業,202508,20251010,9135,1126,1160,796,10971,7554,1408,587,68.9,11.08,7.48,2200000
2157,コシダカホールディングス,202508,20251010,69387,11392,11598,5258,68588,35097,2570,11524,51.2,16.07,8.07,84225924
2164,地域新聞社,202508,20251010,3153,45,52,41,2299,653,511,1013,28.4,8.59,2.31,8357728
2735,ワッツ,202508,20251010,61578,1419,1429,870,27510,13012,440,3335,47.3,6.82,3.01,13458800
2999,ホームポジション,202508,20251010,17364,563,405,387,14473,5769,1395,7701,39.9,8.4,2.96,9395400
3046,ジンズホールディングス,202508,20251010,97215,12093,12121,8330,57866,31742,3202,5473,54.9,29.06,14.89,23980000
3048,ビックカメラ,202508,20251010,974483,30274,31929,17476,492531,168311,25929,95830,34.2,10.9,3.6,188146304
3168,MERF,202508,20251010,82463,117,-220,-203,25705,9218,1000,12714,35.9,-2.17,-0.78,14337200
3560,ほぼ日,202508,20251010,8677,616,651,448,6918,4893,351,-,70.7,9.52,6.68,2321800
3815,メディア工房,202508,20251010,1873,-323,-317,-508,2277,705,451,1200,31,-58.06,-20.62,11300000
3991,ウォンテッドリー,202508,20251010,4908,1644,1644,1083,7158,4895,306,-,68.4,24.36,17.43,9507400
4370,モビルス,202508,20251010,1854,90,81,90,2229,1373,449,305,61.6,6.55,4.04,6096274
4760,アルファ,202508,20251010,6365,234,224,127,4533,1523,100,1543,33.6,8.74,2.88,915444
5129,FIXER,202508,20251010,3980,-1729,-1719,-2117,4493,3761,1214,9,83.7,-56.29,-47.12,14815200
6159,ミクロン精密,202508,20251010,5782,612,1119,782,15564,13602,651,329,87.4,5.85,5.1,7706100
6264,マルマエ,202508,20251010,11403,2103,1936,1355,25423,8151,1241,13506,32.1,16.62,5.33,26106000
6289,技研製作所,202508,20251010,26337,2566,2732,1487,47837,40285,8958,1024,84.2,3.68,3.1,27074728
6668,アドテックプラズマテクノロジー,202508,20251010,12680,1808,1897,2007,27219,13181,835,12294,48.4,15.88,7.45,8586000
7219,エッチ・ケー・エス,202508,20251010,8976,394,457,361,13233,10650,878,535,80.5,3.44,2.72,1600000
7373,アイドマ・ホールディングス,202508,20251010,13269,3102,3193,1954,10901,7194,1075,132,66,28.08,18.62,15313240
7453,良品計画,202508,20251010,784629,73840,72301,50846,562749,331748,6766,46738,59,16.28,9.48,561560000
7514,ヒマラヤ,202508,20251010,60447,285,382,11,34667,16331,2544,4837,47.1,0.07,0.03,12320787
8127,ヤマトインターナショナル,202508,20251010,19444,-201,-62,143,23301,17314,4917,815,74.3,0.83,0.6,21302936
9270,バリュエンスホールディングス,202508,20251010,84841,1453,1315,681,30938,7362,1373,18212,23.8,9.8,2.37,13926360
9331,キャスター,202508,20251010,4588,-382,-386,-393,1872,709,190,457,37.9,-43.38,-18.17,1960460
4728,トーセ,202508,20251009,6636,689,677,250,7836,6122,967,-,78.1,4.11,3.32,7763040
6255,エヌ・ピー・シー,202508,20251009,9272,1920,1922,1325,12911,10835,2812,-,83.9,12.91,9.35,22052426
7513,コジマ,202508,20251009,282790,7325,7732,4709,120786,70105,25975,9501,58,6.9,4,77912716
9414,日本BS放送,202508,20251009,11812,1932,1985,1345,26898,24393,4190,80,90.7,5.61,5.1,17834232
9560,プログリット,202508,20251009,5747,1202,1207,888,4486,2261,346,248,50.4,43.86,21.21,12746137
9983,ファーストリテイリング,202508,20251009,3400539,564265,650574,433009,3859353,2273116,10273,141071,58.9,20.19,11.63,318220968
7256,河西工業,202503,20251008,218801,-289,-1288,-9182,144831,12455,5821,73521,8.6,-74.01,-6.4,39511728
7730,マニー,202508,20251008,29968,8193,8271,4643,57987,53561,1087,-,92.4,8.77,8.06,107003277
3035,ケイティケイ,202508,20251002,18927,426,515,332,9335,4477,294,993,48,7.64,3.65,5725000
3498,霞ヶ関キャピタル,202508,20251002,96501,18933,17134,10250,121688,36171,9523,66083,29.7,32.53,10.29,24587930
3607,クラウディアホールディングス,202508,20251001,13591,402,416,312,12625,3967,50,5733,31.4,8,2.45,9689200
7447,ナガイレーベン,202508,20251001,16983,3583,3706,2573,44692,41318,1925,-,92.5,6.13,5.63,30736000
2391,プラネット,202507,20250916,3162,564,592,400,6653,5635,436,-,84.7,7.23,6.06,6632800
5966,京都機械工具,202503,20250916,9046,847,944,544,16288,12253,1032,900,75.2,4.41,3.31,2477435
1444,ニッソウ,202507,20250912,5279,72,69,202,3457,1703,349,1061,49.3,12.61,6.49,1088700
1844,大盛工業,202507,20250912,6443,785,759,518,12037,5871,3101,4309,48.8,9.08,4.32,18735209
211A,カドス・コーポレーション,202507,20250912,7587,937,937,658,7821,4361,119,1121,55.8,15.55,8.11,1012500
218A,Liberaware,202507,20250912,1406,-1588,46,46,1700,912,11,491,53.6,5.04,2.71,19637700
2353,日本駐車場開発,202507,20250912,36832,7659,7832,4799,49984,19128,699,18566,38.3,27.74,10.42,348398600
2424,ブラス,202507,20250912,13562,751,765,412,11411,4155,100,3858,36.4,10.37,3.71,5709300
2978,ツクルバ,202507,20250912,8099,274,199,106,6141,1786,14,3655,29.1,6.15,2.05,12058200
2991,ランドネット,202507,20250912,95992,3744,3311,2384,35386,11071,709,18052,31.3,23.92,7.62,23955200
3193,エターナルホスピタリティグループ,202507,20250912,46356,3121,3103,1720,21382,9774,1491,3290,45.7,18.63,8.18,11622300
3418,バルニバービ,202507,20250912,14336,638,621,428,13536,5943,1608,5096,43.9,9.26,3.61,10962380
3421,稲葉製作所,202507,20250912,41905,1865,2197,1546,59467,44020,1132,-,74,3.53,2.58,17022429
3441,山王,202507,20250912,10830,796,806,765,12851,6755,962,4233,52.6,11.61,6.14,5000000
3539,JMホールディングス,202507,20250912,186207,10048,10144,6457,72721,45130,2229,7619,62.1,14.56,8.96,50959000
3930,はてな,202507,20250912,3794,339,339,230,3450,2816,250,-,81.6,8.56,7.23,3075200
3988,SYSホールディングス,202507,20250912,14051,705,732,423,7913,3752,417,1930,47.4,11.89,5.83,10630995
4014,カラダノート,202507,20250912,1270,-34,-43,-69,768,480,62,200,62.5,-16.59,-7.65,6697900
4075,ブレインズテクノロジー,202507,20250912,1255,165,166,133,2057,1643,618,-,79.9,8.32,6.79,5966000
4384,ラクスル,202507,20250912,61950,3819,3462,2702,44299,14438,2919,17135,32.6,18.86,6.13,60988292
4446,Link-Uグループ,202507,20250912,4835,326,308,147,5720,2589,477,1654,45.3,5.79,2.84,14174100
4936,アクシージア,202507,20250912,13478,513,504,320,9567,7572,2155,750,79.1,3.97,3.18,24107000
5131,リンカーズ,202507,20250912,1360,-457,-428,-548,1363,1117,249,12,82,-49.06,-40.21,13897000
5572,Ridge-i,202507,20250912,2593,283,290,139,2846,2191,38,-,77,6.34,4.88,4315320
6037,楽待,202507,20250912,3159,1544,1749,1170,6122,5304,87,-,86.6,21.36,19.06,19753800
6040,日本スキー場開発,202507,20250912,10461,2246,2236,1586,13404,8202,1001,3366,61.2,21.32,13,48008700
6091,ウエスコホールディングス,202507,20250912,16114,987,1215,774,21242,16255,400,-,76.5,4.77,3.69,13727553
7097,さくらさくプラス,202507,20250912,18388,1139,1032,611,13258,5821,589,3669,43.9,11.02,4.54,4622200
7110,クラシコム,202507,20250912,8490,1090,1111,716,6296,5317,100,102,84.5,14.26,12.04,7370400
7126,グローバルスタイル,202507,20250912,11460,801,821,503,7459,2911,80,2431,39,18.75,6.72,3502744
7692,アースインフィニティ,202507,20250912,6725,696,674,461,3061,1205,144,959,39.4,44.07,16.99,110131200
7810,クロスフォー,202507,20250912,3757,55,23,22,5057,1806,713,2985,35.7,1.22,0.43,17845000
7850,総合商研,202507,20250912,16236,351,431,319,7982,3138,411,2589,39.3,10.63,4.08,3060110
9235,売れるネット広告社グループ,202507,20250912,1567,-166,-169,-444,1906,677,412,682,35.5,-64.82,-26.63,7705791
9240,デリバリーコンサルティング,202507,20250912,2740,51,60,35,1484,1111,158,29,74.9,3.22,2.36,4860200
9242,メディア総研,202507,20250912,1536,294,297,217,1786,1524,250,-,85.3,15.34,13.01,1232300
9262,シルバーライフ,202507,20250912,14918,850,1015,702,10452,6972,735,1680,66.7,10.48,6.91,10928400
9556,INTLOOP,202507,20250912,33551,2186,2217,1367,13631,6159,60,1724,45.2,24.99,10.61,9414540
2929,ファーマフーズ,202507,20250911,65260,2367,2553,368,32649,11547,2043,12631,35.4,3.18,1.06,29079000
350A,デジタルグリッド,202507,20250911,6153,2742,2614,1870,17817,8277,1139,1612,46.5,22.59,10.5,40449780
4194,ビジョナル,202507,20250911,80161,21442,22715,15950,95405,67215,6631,119,70.5,26.72,18.58,40220200
4422,VALUENEX,202507,20250911,690,-73,-73,-82,911,707,82,-,77.6,-10.98,-8.55,8719200
4934,プレミアアンチエイジング,202507,20250911,16160,617,599,471,10140,6598,1351,1107,65.1,7.4,4.46,8720534
6535,アイモバイル,202507,20250911,21528,4133,4069,2957,27264,16157,152,-,59.3,18.68,11.43,58147188
6778,アルチザネットワークス,202507,20250911,2680,116,247,133,8399,6560,1359,1294,78.1,1.96,1.54,9562000
8927,明豊エンタープライズ,202507,20250911,29796,3373,2683,1893,29099,9521,614,15912,32.7,21.63,6.62,31584600
4599,ステムリム,202507,20250910,-,-1971,-1970,-1929,7518,5862,10,-,78,-28.7,-23.24,62681200
6387,サムコ,202507,20250910,9342,2342,2373,1697,17774,13558,1663,1062,76.3,13.13,10.01,8042881
6577,ベストワンドットコム,202507,20250910,2543,29,27,9,4012,1141,570,2118,28.4,0.79,0.26,1524700
7682,浜木綿,202507,20250910,6092,189,192,81,4723,1606,681,1865,34,5.18,1.8,2170210
3662,エイチームホールディングス,202507,20250905,23917,845,1585,1036,15209,9021,1713,784,59.3,10.75,6.58,18811135
3816,大和コンピューター,202507,20250905,3204,571,619,417,6241,5365,382,43,86,7.97,6.75,3949762
3854,アイル,202507,20250905,19294,4818,4767,3488,15768,11286,354,-,71.6,33.27,23.31,25042528
6267,ゼネラルパッカー,202507,20250905,10108,1073,1067,799,10971,7474,251,98,68.1,11.14,6.99,1798800
3172,ティーライフ,202507,20250904,11502,456,453,358,8777,6432,368,918,73.3,5.63,4.03,4273600
8057,内田洋行,202507,20250902,337055,12174,13126,9825,174917,70548,5000,1970,40.3,14.59,6.04,52096855
3076,あいホールディングス,202506,20250819,66197,8889,9008,21280,140906,109543,5000,-,77.7,22.45,18.13,56590410
6327,北川精機,202506,20250818,6227,623,599,394,8591,5077,574,1319,59.1,8.01,4.63,8449600
7532,パン・パシフィック・インターナショナルホールディングス,202506,20250818,2246758,162296,158542,90512,1511026,605754,23689,404379,40.1,15.85,6.02,3177296700
194A,WOLVES_HAND,202506,20250815,5463,909,908,593,6049,2715,107,2528,44.9,24.57,10.02,7974000
2481,タウンニュース社,202506,20250815,3677,462,587,389,5792,5108,501,-,88.2,7.85,6.93,5575320
4391,ロジザード,202506,20250815,2177,408,409,283,2576,2176,303,-,84.5,13.8,11.71,3301000
4657,環境管理センター,202506,20250815,6099,109,94,7,5421,2313,885,1680,42.7,0.3,0.13,4789041
6036,KeePer技研,202506,20250815,23093,7098,7131,4888,24826,18042,1347,1449,72.7,30.07,22.16,28280840
9439,エム・エイチ・グループ,202506,20250815,1844,-9,-7,-17,1773,504,215,127,28.4,-3.19,-0.94,11642100
157A,グリーンモンスター,202506,20250814,2006,123,125,32,1821,1430,34,50,78.5,2.21,1.74,3294000
1716,第一カッター興業,202506,20250814,20228,1647,1791,1327,22247,19230,470,190,86.4,7.1,6.02,12000000
2762,SANKO_MARKETING_FOODS,202506,20250814,9679,-666,-647,-816,2430,316,10,472,13,-254.6,-33.91,39762949
2820,やまみ,202506,20250814,21064,1727,1727,1502,15980,10432,1245,1913,65.3,15.07,9.54,6967500
2962,テクニスコ,202506,20250814,3362,-1443,-1629,-2976,6568,1624,785,4158,24.7,-94.3,-37.02,9193374
3041,ビューティカダンホールディングス,202506,20250814,7602,-5,4,42,2897,610,213,1553,21.1,7.28,1.5,5076000
3135,マーケットエンタープライズ,202506,20250814,24771,625,684,484,6238,1361,336,2100,21.8,43.18,8.36,5354900
3140,BRUNO,202506,20250814,14502,440,329,192,10507,5208,1509,2017,49.6,3.73,1.84,14717350
3300,アンビション_DX_ホールディングス,202506,20250814,52372,3946,3524,2350,39308,8340,482,25188,21.2,32.48,7.1,7401000
3457,And_Doホールディングス,202506,20250814,64735,2620,2943,2341,71973,18435,3468,47938,25.6,13.13,3.09,19969200
3469,デュアルタップ,202506,20250814,8367,166,96,117,5480,2343,468,2569,42.8,5.68,2.04,4378250
3538,ウイルプラスホールディングス,202506,20250814,88614,1849,1897,1443,37231,10793,397,16533,29,14.01,4.16,10358400
3625,テックファームホールディングス,202506,20250814,6705,749,761,501,4963,2718,1000,1100,54.8,20.07,11.1,7515000
378A,ヒット,202506,20250814,4419,1387,1367,905,6461,3387,29,1484,52.4,30.32,14.18,7125000
386A,みのや,202506,20250814,24016,678,764,404,8445,2868,100,2207,34,15.05,5.01,3605000
4052,フィーチャ,202506,20250814,497,-9,-10,-38,720,689,383,-,95.7,-5.36,-5.11,5856107
4073,ジィ・シィ企画,202506,20250814,1844,-80,-115,-146,2004,270,433,1475,13.5,-42.63,-7.75,2538660
4845,スカラ,202506,20250814,8179,751,724,982,10222,4804,1794,3038,47,21.48,8.57,17768859
5074,テスホールディングス,202506,20250814,36684,2548,-641,204,151262,42557,6760,87490,28.1,0.49,0.15,70649130
5125,ファインズ,202506,20250814,2685,334,345,233,2737,2175,233,-,79.5,11.15,8.76,4661100
5582,グリッド,202506,20250814,2063,428,428,298,4417,3939,54,5,89.2,7.87,7,4786056
5884,クラダシ,202506,20250814,3075,-63,-70,-31,3096,1025,17,1530,33.1,-3.02,-1,12140258
6038,イード,202506,20250814,6084,459,454,307,6252,4561,50,485,73,7.01,4.9,5062600
6061,ユニバーサル園芸社,202506,20250814,20506,2651,2642,1805,17035,13415,172,68,78.7,14.19,11.16,10050000
6597,HPCシステムズ,202506,20250814,7064,636,644,423,4524,2604,230,525,57.6,16.62,9.11,4375500
7063,Birdman,202506,20250814,319,-561,-684,-715,1886,221,2125,985,11.7,-,-63.25,33720200
7325,アイリックコーポレーション,202506,20250814,9424,741,752,435,6051,3883,1354,16,64.2,11.58,7.74,8708000
7371,Zenken,202506,20250814,5536,386,400,342,14492,12370,439,578,85.4,2.78,2.38,12339100
7375,リファインバースグループ,202506,20250814,4070,182,151,146,3461,212,162,2410,6.1,105.04,4.28,3348421
7409,AeroEdge,202506,20250814,3602,655,565,734,8211,3886,495,3349,47.3,21.04,9.5,11886636
7707,プレシジョン・システム・サイエンス,202506,20250814,4692,-121,-139,-253,4937,3760,100,564,76.2,-6.4,-4.46,27666900
7747,朝日インテック,202506,20250814,120025,30079,29563,12737,193187,150559,18860,9020,77.9,8.44,6.62,265332300
7781,平山ホールディングス,202506,20250814,36220,1270,1300,858,12358,4999,570,1237,40.5,18.14,6.96,8156400
7803,ブシロード,202506,20250814,56175,4868,4844,3418,49797,23750,5781,11586,47.7,14.9,6.81,137409100
7812,クレステック,202506,20250814,18785,1318,1158,736,17784,7953,215,5399,44.7,9.13,3.92,3248900
9159,W_TOKYO,202506,20250814,3925,351,341,173,2586,1571,246,584,60.8,10.74,6.09,2754400
9162,ブリーチ,202506,20250814,17160,436,433,303,13234,9534,3380,1800,72,3.18,2.29,25731800
9219,ギックス,202506,20250814,2398,-99,-101,-99,2110,1768,287,-,83.8,-5.28,-4.44,5596775
9417,スマートバリュー,202506,20250814,4361,-440,-733,916,24903,2543,1044,1996,10.2,43.29,6.33,10679800
9450,ファイバーゲート,202506,20250814,13070,1958,1943,1319,12144,6446,494,3244,53.1,21.56,10.46,20593600
9557,エアークローゼット,202506,20250814,4957,102,88,23,2752,541,56,1532,19.7,4.4,0.84,8284200
141A,トライアルホールディングス,202506,20250813,806590,21106,22200,11752,300283,126125,19812,38558,42,9.72,4.03,122717400
196A,MFS,202506,20250813,2917,196,198,160,2537,2225,599,-,87.7,7.47,6.45,10198900
197A,タウンズ,202506,20250813,18627,8265,8219,6315,36515,17413,289,14423,47.7,40.65,19.2,106454551
2180,サニーサイドアップグループ,202506,20250813,19587,1597,1635,948,10409,4545,550,742,43.7,22.26,10.04,15197600
2385,総医研ホールディングス,202506,20250813,4848,-137,-129,-210,6812,6022,1836,-,88.4,-3.43,-3.05,26158200
3446,ジェイテックコーポレーション,202506,20250813,1925,113,102,60,3688,2775,847,446,75.2,2.19,1.65,5905500
4068,ベイシス,202506,20250813,7984,177,167,96,3717,2046,337,543,55,4.79,2.51,1889679
4398,ブロードバンドセキュリティ,202506,20250813,6103,257,251,142,3797,2107,301,188,55.5,6.81,3.58,4626674
4478,フリー,202506,20250813,33270,610,412,1370,52595,19512,27043,9600,37.1,7.55,2.96,59670765
4495,アイキューブドシステムズ,202506,20250813,3749,905,877,558,4438,2560,414,-,57.7,21.75,13.87,5310750
5698,エンビプロ・ホールディングス,202506,20250813,49090,972,1216,1175,31299,16899,1580,7521,54,6.99,3.61,30317388
5987,オーネックス,202506,20250813,5053,-47,-26,2,8676,5252,878,1800,60.5,0.04,0.02,1660000
6340,澁谷工業,202506,20250813,129017,13749,13773,10052,159426,107922,11392,3696,67.7,9.62,6.26,28149877
6547,グリーンズ,202506,20250813,49645,6306,5843,5260,29405,10177,100,12232,34.6,58.44,18.78,13878263
6571,キュービーネットホールディングス,202506,20250813,25543,1685,1478,1022,34211,14683,1373,8821,42.9,7.08,3.07,13462700
6728,アルバック,202506,20250813,251184,26523,28605,16687,375062,223465,20873,42128,59.6,7.52,4.37,49355938
6874,協立電機,202506,20250813,38246,3354,3452,2138,32591,20123,1441,814,61.7,11.23,6.73,8738400
7320,Solvvy,202506,20250813,6705,1620,1977,-628,29619,4170,212,2272,14.1,-17.51,-2.32,11997254
7369,メイホーホールディングス,202506,20250813,13007,472,444,168,6601,2187,447,1704,33.1,7.99,2.36,4704300
7809,壽屋,202506,20250813,16502,1610,1585,1091,13449,8039,469,3228,59.8,14.3,8.56,8550900
9344,アクシスコンサルティング,202506,20250813,5271,210,219,321,4515,3320,761,366,73.5,10.17,7.7,5058030
9346,ココルポート,202506,20250813,6376,771,797,561,3880,2938,576,-,75.7,21.22,15.92,3677657
1414,ショーボンドホールディングス,202506,20250812,90712,20794,21139,15061,129155,105101,5000,-,81.4,14.47,11.62,218980720
1431,Lib_Work,202506,20250812,16004,833,854,494,11523,4714,1321,3805,40.9,10.64,4.25,24151540
1764,工藤建設,202506,20250812,22497,646,616,483,16970,5379,867,5059,31.7,8.98,2.85,1331220
208A,構造計画研究所ホールディングス,202506,20250812,20137,3073,3046,2048,22067,10094,1010,3564,45.7,20.29,9.28,11000000
2689,オルバヘルスケアホールディングス,202506,20250812,122702,1979,1962,1430,45871,12255,607,1916,26.7,12.1,3.21,6250000
3660,アイスタイル,202506,20250812,68768,3164,3310,2327,34601,15901,7179,7555,46,17.31,7.42,102661967
3675,クロス・マーケティンググループ,202506,20250812,28897,2522,2400,1356,16421,7983,646,4248,48.6,18,8.21,19970464
387A,フラー,202506,20250812,2008,189,185,197,1834,989,50,431,53.9,22.44,12.62,1738270
3986,ビーブレイクシステムズ,202506,20250812,1378,109,112,91,2292,1714,232,-,74.8,5.42,4.03,4610880
4054,日本情報クリエイト,202506,20250812,5075,1004,1003,628,5720,3901,730,-,68.2,17.05,11.13,14374440
5034,unerry,202506,20250812,3726,311,315,331,2616,2015,41,-,77,18.17,14.03,3777950
5256,Fusic,202506,20250812,1952,270,272,193,1569,1136,58,-,72.4,18.35,12.84,1280800
7585,かんなん丸,202506,20250812,1871,-139,-136,-218,1539,426,50,744,27.7,-40.56,-13.13,4351308
8945,サンネクスタグループ,202506,20250812,8695,742,758,229,10459,7562,1017,365,72.3,3,2.14,10872800
1381,アクシーズ,202506,20250808,26426,2121,2171,1720,25075,21601,452,48,86.1,8.13,6.95,5617500
151A,ダイブ,202506,20250808,13781,755,769,454,4439,2272,21,406,51.2,21.79,10.37,8600775
1788,三東工業社,202506,20250808,8199,327,338,231,5086,3385,849,5,66.6,7.05,4.81,686000
2154,オープンアップグループ,202506,20250808,187954,16244,16172,12559,122702,78835,4815,5030,64.2,16.52,10.5,90822812
2428,ウェルネット,202506,20250808,10918,1502,1664,1077,29302,8774,667,1600,29.9,12.63,3.82,19400000
246A,アスア,202506,20250808,1392,198,175,105,1450,1056,228,94,72.8,12.91,8.03,2692300
2904,一正蒲鉾,202506,20250808,34579,891,907,746,30413,14828,940,8334,48.8,5.09,2.41,18590000
2938,オカムラ食品工業,202506,20250808,35345,3021,2815,2020,41271,16043,1161,16038,38.9,13.38,5.02,50254460
3082,きちりホールディングス,202506,20250808,15056,581,552,310,7091,1952,714,2990,27.5,16.71,4.24,11324600
3097,物語コーポレーション,202506,20250808,123921,9242,9035,6157,74026,40252,5964,12930,54.4,17.75,9.08,39202981
3271,THEグローバル社,202506,20250808,61747,5415,4631,3683,40471,10853,1924,25965,26.8,39.16,8.23,28306000
3286,トラストホールディングス,202506,20250808,12887,529,474,345,8730,1217,422,4994,13.9,32.36,3.93,5204500
3597,自重堂,202506,20250808,14936,1446,1627,1128,41954,38120,2982,-,90.9,2.95,2.7,2882848
3639,ボルテージ,202506,20250808,2818,14,17,13,2794,2188,1251,100,78.3,0.6,0.46,6602675
3916,デジタル・インフォメーション・テクノロジー,202506,20250808,24159,3013,3027,2178,11271,8073,453,24,71.6,28.98,20.27,31003640
3958,笹徳印刷,202506,20250808,12555,185,420,246,14008,9148,309,450,65.3,2.64,1.67,6185000
4263,サスメド,202506,20250808,462,-299,-294,-298,4502,4322,99,-,96,-6.69,-6.32,16868100
4335,IPSホールディングス,202506,20250808,3732,363,358,271,2912,1646,255,-,56.5,17.49,9.85,2466000
4418,JDSC,202506,20250808,23055,581,524,345,7987,3785,13,1391,47.4,9.75,4.43,16162200
4575,キャンバス,202506,20250808,-,-1109,-1156,-1157,3050,2911,8467,-,95.4,-44.37,-42.21,19713655
4976,東洋ドライルーブ,202506,20250808,5194,780,976,702,12818,10364,375,787,80.9,7.03,5.65,4065000
5283,高見澤,202506,20250808,73567,1457,1670,670,38851,14540,1264,9198,37.4,4.69,1.71,1758400
5380,新東,202506,20250808,4627,105,104,70,6247,3270,412,2020,52.3,2.15,1.13,831682
6090,ヒューマン・メタボローム・テクノロジーズ,202506,20250808,1455,249,240,256,2374,1891,1488,100,79.7,13.53,10.29,5919797
6156,エーワン精密,202506,20250808,1590,84,119,-221,8058,7485,292,-,92.9,-2.82,-2.6,5300000
6227,AIメカテック,202506,20250808,21005,2095,1884,337,27373,10860,1620,8391,39.7,3.09,1.34,18849000
6239,ナガオカ,202506,20250808,8917,1519,1509,970,10023,7507,1253,215,74.9,13.37,9.57,7078400
6662,ユビテック,202506,20250808,1235,-167,-166,-493,1701,1483,941,-,87.2,-28.51,-24.26,14791600
6785,鈴木,202506,20250808,33322,4292,4206,2760,39772,26920,2442,2453,67.7,10.59,7.18,14404400
